Date,Index Category,Sub Category,Region,Plow,Index,Phigh,UID
10/1/2019,Proppant,100-Mesh,Anadarko,59.16965164,67.71175811,84.42780611,1118121910
11/1/2019,Proppant,100-Mesh,Anadarko,54.89807207,61.61715191,78.73752125,1118121911
12/1/2019,Proppant,100-Mesh,Anadarko,51.17355405,56.21286394,73.63647427,1118121912
1/1/2020,Proppant,100-Mesh,Anadarko,48.1718322,55.49298128,73.9773557,1118122001
2/1/2020,Proppant,100-Mesh,Anadarko,48.62887415,60.78640263,75.06635011,1118122002
3/1/2020,Proppant,100-Mesh,Anadarko,45.63832228,56.83980197,69.63309592,1118122003
4/1/2020,Proppant,100-Mesh,Anadarko,44.71485282,53.87985148,65.97482194,1118122004
5/1/2020,Proppant,100-Mesh,Anadarko,44.25373221,52.49322194,61.98111645,1118122005
6/1/2020,Proppant,100-Mesh,Anadarko,45.06529916,51.45324979,58.98583734,1118122006
7/1/2020,Proppant,100-Mesh,Anadarko,41.29897437,48.27743734,56.114378,1118122007
8/1/2020,Proppant,100-Mesh,Anadarko,38.47423078,47.49280023,53.9607835,1118122008
9/1/2020,Proppant,100-Mesh,Anadarko,36.35567308,46.63811869,52.13725429,1118122009
10/1/2020,Proppant,100-Mesh,Anadarko,34.76675481,45.64216926,51.60294072,1118122010
11/1/2020,Proppant,100-Mesh,Anadarko,35.76256611,44.85662695,52.03553887,1118122011
12/1/2020,Proppant,100-Mesh,Anadarko,35.05109125,44.41150313,53.60998749,1118122012
1/1/2021,Proppant,100-Mesh,Anadarko,34.83831844,43.99612735,52.08249062,1118122101
2/1/2021,Proppant,100-Mesh,Anadarko,34.67873883,43.68459551,50.93686796,1118122102
3/1/2021,Proppant,100-Mesh,Anadarko,34.55905412,43.45094663,50.07765097,1118122103
4/1/2021,Proppant,100-Mesh,Anadarko,34.46929059,43.27570998,49.43323823,1118122104
5/1/2021,Proppant,100-Mesh,Anadarko,34.40196794,43.14428248,48.94992867,1118122105
6/1/2021,Proppant,100-Mesh,Anadarko,33.92647596,42.46237853,48.5874465,1118122106
7/1/2021,Proppant,100-Mesh,Anadarko,33.8531903,42.33983945,48.31558488,1118122107
1/1/2018,Proppant,40/70,Anadarko,74.51604999,100,120.0686106,1118131801
2/1/2018,Proppant,40/70,Anadarko,77.32786082,101.3415829,123.7441803,1118131802
3/1/2018,Proppant,40/70,Anadarko,80.96820632,102.6540676,123.4378829,1118131803
4/1/2018,Proppant,40/70,Anadarko,79.10400331,102.7195387,124.7396471,1118131804
5/1/2018,Proppant,40/70,Anadarko,76.17436367,97.25528746,119.8350588,1118131805
6/1/2018,Proppant,40/70,Anadarko,72.13934908,90.95175719,113.2896732,1118131806
7/1/2018,Proppant,40/70,Anadarko,69.11308814,86.22410949,108.380634,1118131807
8/1/2018,Proppant,40/70,Anadarko,65.61820253,81.20814583,102.7875583,1118131808
9/1/2018,Proppant,40/70,Anadarko,61.47473987,75.61941493,96.21796595,1118131809
10/1/2018,Proppant,40/70,Anadarko,58.36714287,71.42786676,91.29077169,1118131810
11/1/2018,Proppant,40/70,Anadarko,55.41466124,67.53806498,86.62539315,1118131811
12/1/2018,Proppant,40/70,Anadarko,53.8220839,65.3668543,84.0963421,1118131812
1/1/2019,Proppant,40/70,Anadarko,52.62765089,64.34001453,79.91861776,1118131901
2/1/2019,Proppant,40/70,Anadarko,54.78561198,65.40766956,77.98262092,1118131902
3/1/2019,Proppant,40/70,Anadarko,57.93557017,67.43360074,78.70259911,1118131903
4/1/2019,Proppant,40/70,Anadarko,55.58412065,68.34045417,79.24258276,1118131904
5/1/2019,Proppant,40/70,Anadarko,53.02109711,65.03872705,75.97200078,1118131905
6/1/2019,Proppant,40/70,Anadarko,51.09882945,61.94983676,72.90646934,1118131906
7/1/2019,Proppant,40/70,Anadarko,49.9236075,61.36885474,72.2409073,1118131907
8/1/2019,Proppant,40/70,Anadarko,51.22302908,59.80696451,67.96100393,1118131908
9/1/2019,Proppant,40/70,Anadarko,50.65487697,58.80775408,66.72703545,1118131909
10/1/2019,Proppant,40/70,Anadarko,47.18008201,55.1325247,64.37999847,1118131910
11/1/2019,Proppant,40/70,Anadarko,45.30909973,52.06980519,62.22153401,1118131911
12/1/2019,Proppant,40/70,Anadarko,42.25185666,48.24127817,58.61175208,1118131912
1/1/2020,Proppant,40/70,Anadarko,41.61293072,47.20766777,58.29353594,1118132001
2/1/2020,Proppant,40/70,Anadarko,41.13373626,45.71776586,57.12577149,1118132002
3/1/2020,Proppant,40/70,Anadarko,40.77434042,44.3961411,55.98449034,1118132003
4/1/2020,Proppant,40/70,Anadarko,39.15708465,42.48603011,53.93396933,1118132004
5/1/2020,Proppant,40/70,Anadarko,36.71895291,40.44085191,51.59970513,1118132005
6/1/2020,Proppant,40/70,Anadarko,36.15638368,39.62166238,50.77810932,1118132006
7/1/2020,Proppant,40/70,Anadarko,35.29883368,38.7350058,49.80796871,1118132007
8/1/2020,Proppant,40/70,Anadarko,34.5240767,38.01329162,49.00662498,1118132008
9/1/2020,Proppant,40/70,Anadarko,34.17594631,37.60057529,48.57275728,1118132009
10/1/2020,Proppant,40/70,Anadarko,33.80342179,37.22423242,48.1605092,1118132010
11/1/2020,Proppant,40/70,Anadarko,33.5206671,36.94365591,47.85350798,1118132011
12/1/2020,Proppant,40/70,Anadarko,33.34798419,36.75437164,47.6507496,1118132012
1/1/2021,Proppant,40/70,Anadarko,33.19333703,36.59774948,47.47962418,1118132101
2/1/2021,Proppant,40/70,Anadarko,33.08098062,36.48300613,47.35482036,1118132102
3/1/2021,Proppant,40/70,Anadarko,31.70242867,35.0196915,45.31763451,1118132103
4/1/2021,Proppant,40/70,Anadarko,31.53016149,34.83946918,45.08428703,1118132104
5/1/2021,Proppant,40/70,Anadarko,31.25795813,34.55187905,44.69410947,1118132105
6/1/2021,Proppant,40/70,Anadarko,30.86192533,34.13204749,44.11340696,1118132106
7/1/2021,Proppant,40/70,Anadarko,30.74048857,34.00407426,43.94164863,1118132107
1/1/2018,Proppant,Proppant Price Index,Appalachian,90.7930431,100,119.3785449,1218111801
2/1/2018,Proppant,Proppant Price Index,Appalachian,91.04420101,99.7803402,119.6383442,1218111802
3/1/2018,Proppant,Proppant Price Index,Appalachian,90.41916539,98.61914459,120.9146807,1218111803
4/1/2018,Proppant,Proppant Price Index,Appalachian,89.97475225,97.76375067,120.7283782,1218111804
5/1/2018,Proppant,Proppant Price Index,Appalachian,89.44324713,96.85090909,116.785923,1218111805
6/1/2018,Proppant,Proppant Price Index,Appalachian,89.1857238,97.80966818,115.1024215,1218111806
7/1/2018,Proppant,Proppant Price Index,Appalachian,89.03546015,98.52990183,113.1433842,1218111807
8/1/2018,Proppant,Proppant Price Index,Appalachian,89.36719632,98.08112724,111.7694371,1218111808
9/1/2018,Proppant,Proppant Price Index,Appalachian,88.72251386,97.34352488,109.8003651,1218111809
10/1/2018,Proppant,Proppant Price Index,Appalachian,87.15433269,96.28562066,106.4945996,1218111810
11/1/2018,Proppant,Proppant Price Index,Appalachian,85.48260833,95.1015062,103.0614737,1218111811
12/1/2018,Proppant,Proppant Price Index,Appalachian,83.53907373,91.4614544,98.97486281,1218111812
1/1/2019,Proppant,Proppant Price Index,Appalachian,80.85097133,87.71948611,96.18795685,1218111901
2/1/2019,Proppant,Proppant Price Index,Appalachian,74.5694704,83.95197348,91.57646585,1218111902
3/1/2019,Proppant,Proppant Price Index,Appalachian,69.62851115,78.64158945,87.58915466,1218111903
4/1/2019,Proppant,Proppant Price Index,Appalachian,67.1736326,76.09265757,85.10622636,1218111904
5/1/2019,Proppant,Proppant Price Index,Appalachian,65.38439501,74.18095866,82.83310335,1218111905
6/1/2019,Proppant,Proppant Price Index,Appalachian,64.5138076,72.41934829,80.63051472,1218111906
7/1/2019,Proppant,Proppant Price Index,Appalachian,63.40892541,71.1809758,79.12563224,1218111907
8/1/2019,Proppant,Proppant Price Index,Appalachian,62.64671243,70.30645299,78.21310675,1218111908
9/1/2019,Proppant,Proppant Price Index,Appalachian,62.95573544,71.06548625,77.30227821,1218111909
10/1/2019,Proppant,Proppant Price Index,Appalachian,62.00110261,69.31810117,75.71605116,1218111910
11/1/2019,Proppant,Proppant Price Index,Appalachian,61.2747205,69.57846954,75.05007447,1218111911
12/1/2019,Proppant,Proppant Price Index,Appalachian,58.19475698,68.53337256,73.41989574,1218111912
1/1/2020,Proppant,Proppant Price Index,Appalachian,58.19939851,67.71181745,72.14567711,1218112001
2/1/2020,Proppant,Proppant Price Index,Appalachian,58.01020723,67.14008968,71.51210848,1218112002
3/1/2020,Proppant,Proppant Price Index,Appalachian,58.8494849,66.75494035,71.094127,1218112003
4/1/2020,Proppant,Proppant Price Index,Appalachian,58.64889458,65.92182649,70.73360486,1218112004
5/1/2020,Proppant,Proppant Price Index,Appalachian,58.82344245,65.49233182,69.59568072,1218112005
6/1/2020,Proppant,Proppant Price Index,Appalachian,58.93686185,65.16908285,68.42886067,1218112006
